file,passed,failure_reasons,expected_document_type,actual_document_type,expected_governance_relevance,actual_governance_relevance,raid_items,escalation_items,meeting_actions,ocr_fallback_triggered,scanned_pdf_detected,ocr_processing_time_seconds,ocr_confidence,processing_time_seconds,parse_time_seconds,analysis_time_seconds,text_char_count
data\regression\corpus\meeting_minutes\meeting_minutes_hidden_risks_03.txt,True,,meeting_minutes,meeting_minutes,low,low,0,0,9,False,False,,,0.025,0.01,0.013,3037
data\regression\corpus\meeting_minutes\meeting_minutes_hidden_risks_04.pdf,True,,meeting_minutes,meeting_minutes,low,low,0,0,10,False,False,,,0.084,0.072,0.011,2954
data\regression\corpus\meeting_minutes\meeting_minutes_hidden_risks_05.pdf,True,,meeting_minutes,meeting_minutes,low,low,0,0,6,False,True,,,0.068,0.057,0.01,3161
data\regression\corpus\meeting_minutes\meeting_minutes_hidden_risks_06.pdf,True,,meeting_minutes,meeting_minutes,low,low,0,0,10,False,True,,,0.049,0.037,0.011,3003
data\regression\corpus\meeting_minutes\meeting_minutes_hidden_risks_07.pdf,True,,meeting_minutes,meeting_minutes,low,low,0,0,9,False,False,,,0.06,0.049,0.009,3051
data\regression\corpus\meeting_minutes\meeting_minutes_hidden_risks_08.pdf,True,,meeting_minutes,meeting_minutes,low,low,0,0,10,False,True,,,0.06,0.047,0.012,3361
data\regression\corpus\meeting_minutes\meeting_minutes_hidden_risks_09.pdf,True,,meeting_minutes,meeting_minutes,low,low,0,0,10,False,False,,,0.068,0.053,0.014,2875
data\regression\corpus\meeting_minutes\meeting_minutes_hidden_risks_10.pdf,True,,meeting_minutes,meeting_minutes,low,low,0,0,8,False,False,,,0.066,0.053,0.01,3212
data\regression\corpus\noisy_ocr_docs\noisy_ocr_01.pdf,True,,noisy_ocr_document,noisy_ocr_document,medium,medium,5,0,5,False,True,,,0.058,0.044,0.013,2602
data\regression\corpus\noisy_ocr_docs\noisy_ocr_02.pdf,True,,noisy_ocr_document,noisy_ocr_document,medium,medium,0,1,6,False,False,,,0.109,0.085,0.023,4333
data\regression\corpus\noisy_ocr_docs\noisy_ocr_03.pdf,True,,noisy_ocr_document,noisy_ocr_document,medium,medium,6,0,6,False,False,,,0.092,0.064,0.027,3216
data\regression\corpus\noisy_ocr_docs\noisy_ocr_04.txt,True,,noisy_ocr_document,noisy_ocr_document,medium,medium,1,0,6,False,False,,,0.047,0.004,0.042,4012
data\regression\corpus\noisy_ocr_docs\noisy_ocr_05.pdf,True,,noisy_ocr_document,noisy_ocr_document,medium,medium,10,1,1,False,False,,,0.123,0.103,0.019,4081
data\regression\corpus\noisy_ocr_docs\noisy_ocr_06.pdf,True,,noisy_ocr_document,noisy_ocr_document,medium,medium,0,0,0,False,False,,,0.119,0.096,0.022,5674
data\regression\corpus\noisy_ocr_docs\noisy_ocr_07.pdf,True,,noisy_ocr_document,noisy_ocr_document,medium,medium,0,0,1,False,False,,,0.14,0.116,0.023,6495
data\regression\corpus\noisy_ocr_docs\noisy_ocr_08.pdf,True,,noisy_ocr_document,noisy_ocr_document,medium,medium,0,0,0,False,True,,,0.077,0.058,0.018,4885
data\regression\corpus\noisy_ocr_docs\noisy_ocr_09.txt,True,,noisy_ocr_document,noisy_ocr_document,medium,medium,0,0,0,False,False,,,0.029,0.002,0.026,6426
data\regression\corpus\noisy_ocr_docs\noisy_ocr_10.pdf,True,,noisy_ocr_document,noisy_ocr_document,medium,medium,0,0,1,False,True,,,0.087,0.063,0.024,6850
data\regression\corpus\project_status_reports\project_status_report_01_green.txt,True,,project_status_report,project_status_report,high,high,6,0,7,False,False,,,0.017,0.003,0.013,2639
data\regression\corpus\project_status_reports\project_status_report_02_amber.docx,True,,project_status_report,project_status_report,high,high,7,2,11,False,False,,,0.049,0.033,0.015,3666
data\regression\corpus\project_status_reports\project_status_report_03_red.pdf,True,,project_status_report,project_status_report,high,high,9,2,11,False,True,,,0.061,0.041,0.02,4587
data\regression\corpus\project_status_reports\project_status_report_04_vendor_delay.pdf,True,,project_status_report,project_status_report,high,high,6,1,9,False,True,,,0.074,0.056,0.018,4254
data\regression\corpus\project_status_reports\project_status_report_05_budget_overrun.docx,True,,project_status_report,project_status_report,high,high,3,0,12,False,False,,,0.076,0.059,0.017,4420
data\regression\corpus\project_status_reports\project_status_report_06_resource_shortage.txt,True,,project_status_report,project_status_report,high,high,4,2,10,False,False,,,0.025,0.003,0.022,4726
data\regression\corpus\project_status_reports\project_status_report_07_uat_issues.docx,True,,project_status_report,project_status_report,high,high,8,0,12,False,False,,,0.064,0.041,0.022,5201
data\regression\corpus\project_status_reports\project_status_report_08_infrastructure_dependency.docx,True,,project_status_report,project_status_report,high,high,6,2,12,False,False,,,0.069,0.046,0.022,5474
data\regression\corpus\project_status_reports\project_status_report_09_cloud_migration.docx,True,,project_status_report,project_status_report,high,high,8,0,11,False,False,,,0.075,0.055,0.02,4792
data\regression\corpus\project_status_reports\project_status_report_10_erp_implementation.pdf,True,,project_status_report,project_status_report,high,high,8,0,12,False,True,,,0.077,0.052,0.024,5437
data\regression\corpus\raid_registers\raid_register_01.xlsx,True,,raid_register,raid_register,high,high,12,0,6,False,False,,,1.989,1.967,0.021,3545
data\regression\corpus\raid_registers\raid_register_02.xlsx,True,,raid_register,raid_register,high,high,14,2,6,False,False,,,0.046,0.019,0.026,5144
data\regression\corpus\raid_registers\raid_register_03.xlsx,True,,raid_register,raid_register,high,high,18,0,6,False,False,,,0.081,0.027,0.053,6455
data\regression\corpus\raid_registers\raid_register_04.xlsx,True,,raid_register,raid_register,high,high,14,0,6,False,False,,,0.081,0.058,0.021,5104
data\regression\corpus\raid_registers\raid_register_05.xlsx,True,,raid_register,raid_register,high,high,17,0,6,False,False,,,0.098,0.047,0.05,5005
data\regression\corpus\raid_registers\raid_register_06.xlsx,True,,raid_register,raid_register,high,high,18,0,6,False,False,,,0.127,0.033,0.094,5930
data\regression\corpus\raid_registers\raid_register_07.xlsx,True,,raid_register,raid_register,high,high,18,0,6,False,False,,,0.11,0.043,0.066,6183
data\regression\corpus\raid_registers\raid_register_08.xlsx,True,,raid_register,raid_register,high,high,17,0,6,False,False,,,0.099,0.034,0.064,5573
data\regression\corpus\raid_registers\raid_register_09.pdf,True,,raid_register,raid_register,high,high,18,0,6,False,True,,,0.238,0.136,0.1,8047
data\regression\corpus\raid_registers\raid_register_10.txt,True,,raid_register,raid_register,high,high,18,0,6,False,False,,,0.181,0.003,0.178,10223
